Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,P15056,67,GC07M140798,29.2226162,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF
VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,P15692,61,GC06P043770,28.77539635,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA
BCL2,BCL2 Apoptosis Regulator,Protein Coding,P10415,64,GC18M063123,28.30805206,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2
ESR2,Estrogen Receptor 2,Protein Coding,Q92731,61,GC14M064084,28.22857857,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR2
IGF1,Insulin Like Growth Factor 1,Protein Coding,P05019,60,GC12M102395,28.08979797,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1
MAP2K1,Mitogen-Activated Protein Kinase Kinase 1,Protein Coding,Q02750,67,GC15P066386,28.06820107,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1
FGFR3,Fibroblast Growth Factor Receptor 3,Protein Coding,P22607,68,GC04P031618,27.88102531,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3
CREBBP,CREB Binding Lysine Acetyltransferase ,Protein Coding,Q92793,68,GC16M052313,27.69967079,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP
TGFB1,Transforming Growth Factor Beta 1,Protein Coding,P01137,65,GC19M041301,27.4408989,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1
PTK6,Protein Tyrosine Kinase 6,Protein Coding,Q13882,60,GC20M063528,26.92867851,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK6
WEE1,WEE1 G2 Checkpoint Kinase,Protein Coding,P30291,62,GC11P009573,26.47371483,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WEE1
NRAS,"NRAS Proto-Oncogene, GTPase",Protein Coding,P01111,63,GC01M114704,26.15549278,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS
CDC25B,Cell Division Cycle 25B,Protein Coding,P30305,60,GC20P011668,25.86127853,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC25B
IGF1R,Insulin Like Growth Factor 1 Receptor,Protein Coding,P08069,68,GC15P098648,25.65740585,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R
NTRK2,Neurotrophic Receptor Tyrosine Kinase 2,Protein Coding,Q16620,66,GC09P084668,25.49998665,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK2
NTRK1,Neurotrophic Receptor Tyrosine Kinase 1,Protein Coding,P04629,62,GC01P156815,25.28857994,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1
CTSD,Cathepsin D,Protein Coding,P07339,65,GC11M001752,25.18551445,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSD
PDGFRA,Platelet Derived Growth Factor Receptor Alpha,Protein Coding,P16234,66,GC04P054229,25.15790558,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA
ABCA1,ATP Binding Cassette Subfamily A Member 1,Protein Coding,O95477,62,GC09M104781,24.85957909,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA1
